deleted_line	beta	se	p	trait	SNP	full_gls_beta	full_gls_p	delta_neglogp
"line_535"	-113.236644222564	26.0410815140401	1.37143795586208e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	0.0797916138564734
"line_551"	-111.970797502958	26.0424235633393	1.7114243702985e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	-0.0163899332842581
"line_555"	-111.598983570809	26.0412784241422	1.82357472947659e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	-0.043955786586789
"line_559"	-111.995028954176	26.0328382278963	1.69211692885173e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	-0.0114625917365299
"line_563"	-112.300525137297	26.0277920481557	1.59863964541227e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	0.0132171996294987
"line_566"	-103.907138155661	26.740635146235	0.000102018922538067	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	-0.791712953795802
"line_57"	-111.828426559571	26.0473204422118	1.76053160621194e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	-0.0286760475451677
"line_584"	-112.175066393743	26.0275884115846	1.63363486246163e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	0.00381278579850974
"line_589"	-111.601655513763	26.0466964087075	1.83005671377831e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	-0.0454967701322016
"line_59"	-112.503687925707	26.0491477342488	1.56808160321124e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	0.0215991189797924
"line_595"	-104.349039925795	26.7237242119768	9.43290028240878e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	-0.757677464756526
"line_596"	-113.293787714967	26.0479585374532	1.36491474808228e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	0.0818622522691692
"line_627"	-112.372374785278	26.0363583585451	1.58897117034977e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	0.0158517610534501
"line_630"	-112.65353132716	26.0406159111226	1.51793095498985e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	0.0357157610941918
"line_634"	-112.354091194943	26.0279866137677	1.58404493640166e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	0.0172002811158798
"line_639"	-112.609387661599	26.0498161160305	1.54028066170902e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	0.0293679158027
"line_69"	-112.157953846105	26.0295767073825	1.64093867240401e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	0.00187542841057375
"line_703"	-105.262573124861	26.5679622280434	7.43209450865864e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	-0.654143444965777
"line_705"	-111.263416566095	26.0463509906395	1.93947717214964e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	-0.0707168936055247
"line_707"	-111.320069588107	26.0393076296529	1.91070441937256e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	-0.064225729441012
"line_712"	-114.825319615093	26.5710369621082	1.55009508719622e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	0.0266094388353801
"line_714"	-110.373928463867	26.045738994256	2.25825079662028e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	-0.136804393437266
"line_716"	-111.869140105216	26.0365044604018	1.73416870951764e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	-0.0221235670943729
"line_721"	-109.831079459272	26.6078170972284	3.66290419253946e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	-0.346857780673899
"line_73"	-111.459426980053	26.0365733890754	1.86156343801107e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	-0.05291006194392
"line_730"	-107.971939095197	26.5752621452871	4.84722167408073e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	-0.468525102747422
"line_732"	-112.380655861345	26.0450786335582	1.59709969373548e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	0.0136357522687582
"line_737"	-112.398241170039	26.0296463597232	1.5738839165421e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	0.0199950813093395
"line_738"	-113.373313171729	26.0440900021467	1.34207425895106e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	0.0891912320159207
"line_748"	-112.149233822577	26.0316284730534	1.64595040956202e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	0.000551032347927638
"line_75"	-112.454678969979	26.0464977345968	1.57835909792812e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	0.0187619607166196
"line_757"	-112.488132351167	26.0513416243671	1.57492164283184e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	0.0197088274844059
"line_761"	-111.477409497224	26.0380597286065	1.8578336324968e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	-0.0520390420094081
"line_765"	-104.611213971114	26.5858560403546	8.32505191393501e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	-0.703419171721505
"line_774"	-111.97405200544	26.0350173336688	1.7010446129433e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	-0.0137479252441022
"line_776"	-112.114281811606	26.0275484454352	1.65092410390422e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	-0.000759329716114365
"line_783"	-112.324559196248	26.0336236956166	1.59895303537977e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	0.0131320708794735
"line_786"	-112.097862189234	26.0275329958167	1.65561849408836e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	-0.00199249037395699
"line_787"	-112.370655629316	26.0373067300321	1.59057794032064e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	0.015412823727968
"line_790"	-111.004179712262	26.0718477722246	2.06609118398834e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	-0.09818170590537
"line_796"	-112.307066980043	26.0342406089328	1.60456513170104e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	0.0116104282163274
